               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  87,            0.028186,            0.011522,           0.0019552,             0.90601,             0.85464,             0.90011,               0.503,            0.029612,            0.010382,           0.0071472,           0.0091486,           0.0091486,           0.0091486
                  88,            0.028796,            0.010648,           0.0029965,              0.9308,             0.83045,             0.89803,             0.49902,            0.030238,            0.010287,           0.0070869,           0.0091387,           0.0091387,           0.0091387
                  89,            0.028286,            0.010876,           0.0031054,             0.93465,              0.8141,             0.89504,             0.49961,            0.031097,            0.010477,           0.0074287,           0.0091288,           0.0091288,           0.0091288
                  90,            0.029915,            0.010914,           0.0030004,             0.91249,             0.81043,             0.88163,             0.49988,            0.031181,            0.011409,           0.0068913,           0.0091189,           0.0091189,           0.0091189
                  91,            0.028065,            0.011495,           0.0024399,             0.85158,             0.86846,             0.89445,             0.49337,            0.031366,            0.011262,           0.0066086,            0.009109,            0.009109,            0.009109
                  92,            0.028997,             0.01098,           0.0021708,             0.82917,             0.83374,             0.86643,             0.49446,            0.029609,            0.011233,           0.0093048,           0.0090991,           0.0090991,           0.0090991
                  93,            0.027483,            0.010482,           0.0022879,             0.94037,             0.77912,             0.89792,             0.49767,            0.029154,            0.011092,            0.008696,           0.0090892,           0.0090892,           0.0090892
                  94,            0.027611,            0.010287,           0.0024507,             0.92129,             0.82629,             0.89783,             0.49984,            0.030494,            0.011336,           0.0061615,           0.0090793,           0.0090793,           0.0090793
                  95,            0.026941,            0.011109,           0.0025764,              0.8729,             0.87098,             0.90876,             0.49918,            0.030214,            0.010656,           0.0060417,           0.0090694,           0.0090694,           0.0090694
                  96,            0.025935,           0.0099541,           0.0024003,             0.88179,             0.79976,             0.88719,             0.50758,            0.029762,            0.010574,            0.007238,           0.0090595,           0.0090595,           0.0090595
                  97,            0.025879,            0.010172,           0.0026129,             0.89301,             0.80664,             0.87905,             0.49358,            0.031174,            0.010645,            0.010019,           0.0090496,           0.0090496,           0.0090496
                  98,             0.02587,            0.010212,           0.0027788,             0.91616,             0.80788,             0.88845,             0.49835,            0.030579,            0.010895,            0.011462,           0.0090397,           0.0090397,           0.0090397
                  99,            0.028453,            0.010451,           0.0022725,             0.92894,             0.80105,             0.88997,             0.50002,            0.030393,            0.010823,            0.010252,           0.0090298,           0.0090298,           0.0090298
                 100,            0.027321,            0.010405,           0.0029059,             0.90554,             0.79812,             0.88107,             0.48831,            0.031298,             0.01118,           0.0080692,           0.0090199,           0.0090199,           0.0090199
